,col_name,0_min,0_max,1_min,1_max,2_min,2_max,3_min,3_max
80,Cases_STATS_std,0.1825741858350553,31.11462818881261,31.11462818881261,126.27783635311064,126.27783635311064,413.8060419136649,413.8060419136649,39248.16457776068
81,Cases_STATS_var,0.0333333333333333,968.1201149425286,968.1201149425286,15946.091954022988,15946.091954022988,171235.45977011492,171235.45977011492,1540418422.7229886
82,Cases_STATS_percentile_25,0.0,1.825e-05,1.825e-05,0.00019,0.00019,0.001038625,0.001038625,0.18894725
83,Cases_STATS_percentile_50,0.0,3.95e-05,3.95e-05,0.000286,0.000286,0.001304,0.001304,0.19745
84,Cases_STATS_percentile_75,0.0,6.55e-05,6.55e-05,0.0003835,0.0003835,0.0016275,0.0016275,0.22112725
85,Cases_STATS_entropy,0.0,3.1442854421789654,3.1442854421789654,3.2890571502810464,3.2890571502810464,3.3596752644065804,3.3596752644065804,3.4007281375470377
86,Death_STATS_min,0.0,0.0,0.0,0.0,0.0,6e-06,6e-06,0.00135
87,Death_STATS_max,1e-06,4e-06,4e-06,1.3e-05,1.3e-05,5.8e-05,5.8e-05,0.004143
88,Death_STATS_avg,3.33333333333333e-08,6.333333333333333e-07,6.333333333333333e-07,4.233333333333333e-06,4.233333333333333e-06,2.7216666666666666e-05,2.7216666666666666e-05,0.002262766666666667
89,Death_STATS_std,0.1825741858350553,0.9352607356658148,0.9352607356658148,3.0618152530285294,3.0618152530285294,11.239222167311516,11.239222167311516,982.9745667363802
90,Death_STATS_var,0.0333333333333333,0.8747126436781612,0.8747126436781612,9.374712643678158,9.374712643678158,126.3201149425287,126.3201149425287,966238.9988505744
91,Death_STATS_percentile_25,0.0,0.0,0.0,2e-06,2e-06,1.725e-05,1.725e-05,0.001837
92,Death_STATS_percentile_50,0.0,0.0,0.0,3e-06,3e-06,2.45e-05,2.45e-05,0.0025305
93,Death_STATS_percentile_75,0.0,1e-06,1e-06,5.75e-06,5.75e-06,3.35e-05,3.35e-05,0.002901
94,Death_STATS_entropy,0.0,2.2459520807289133,2.2459520807289133,3.090658913942904,3.090658913942904,3.2985886253409498,3.2985886253409498,3.400573700786061
95,GDP,0.0,51999.0,51999.0,165730.0,165730.0,399064.0,399064.0,20807269.0
